BIBLIOGRAFÍA;AUTOR;TÍTULO;FECHA;TEMA;PAÍS;CONCORDANCIA;Válido;Reflexivo;Complemento_de;Aspecto_verbal;Sujeto;Perífrasis;Observaciones
1646 ANÓNIMO, La vida y hechos de Estebanillo González [España] [Antonio Carreira/Jesús Antonio Cid, Madrid, Cátedra, 1990] Novela;ANÓNIMO;La vida y hechos de Estebanillo González;1646;Novela;España;Pero viéndonos el patrón tan alegres y regocijados, y estar todo el día y la noche debajo de cubierta sin lamentarnos de la hambre y sed como todos los demás lo hacían, y considerando que no éramos cuerpos santos para pasarnos de milagroso, bajó abajo y haciendo visita general nos descubrió la flor y nos mandó subir arriba. Pero anduvo tan bizarro, considerando a;no;;;;;;
1646 ANÓNIMO, La vida y hechos de Estebanillo González [España] [Antonio Carreira/Jesús Antonio Cid, Madrid, Cátedra, 1990] Novela;ANÓNIMO;La vida y hechos de Estebanillo González;1646;Novela;España;Formáis matizadas flotas, Siendo la campaña mar, Siendo las flores sus ondas.  Diréis que hoy hace Fernando Años justos, y que os toca, Por nacer en vuestro mes, El bastón, el peto y gola.  Es así, yo lo confieso, Que, por ser verdad que consta, Hoy Madrid se regocija, Hoy Bruselas se alborota.  Hoy, Mayo, ha de haber dos mayos, Dos primaveras hermosas, Dos albas en sólo un día Y en un día dos auroras.  Dos soles verá Brabante: Uno farol, otro antorcha, Uno planeta, otro Infante, Uno en carro, otro en carroza.  Lleguemos a;si;si;no;imperfectivo;animado;;
1663 CARVAJAL Y SAAVEDRA, MARIANA DE, Navidades de Madrid y noches entretenidas [España] [Catherine Soriano, Madrid, Castalia-Comunidad de Madrid, 1993] Novela;CARVAJAL Y SAAVEDRA, MARIANA DE;Navidades de Madrid y noches entretenidas;1663;Novela;España;Con esto cesó la música quedando todos muy regocijados de lo bien que había cantado, y doña Lupercia dijo así:;no;;;;;;
1725-1744 TORRES VILLARROEL, DIEGO DE, Extracto de los Pronósticos del gran Piscator de Salamanca, desde el año de 1725 hasta el de 1744 [España] [CORDE, Madrid, RAE, 2006] Astrología y ciencias ocultas;TORRES VILLARROEL, DIEGO DE;Extracto de los Pronósticos del gran Piscator de Salamanca, desde el año de 1725 hasta el de 1744;1725-1744;Astrología y ciencias ocultas;España;, buen viage! ¡Mas ay! que presto el bárbaro corage del alterado viento, con enojo ya te conduce mísero despojo a ser de las espumas triste ultraje. Mira perdido el favorable influxo, que en la selva te dio verdor prolixo, y mira ya, cómo Plutón conduxo Toda tu pompa altiva y regocijo a darle triste ruina con su fluxo, y en sus entrañas monumento fixo.;no;;;;;;
1726 FEIJOO, BENITO JERÓNIMO, Teatro crítico universal, I [España] [Oviedo, Instituto Feijoo del siglo XVIII, 1998] Literatura;FEIJOO, BENITO JERÓNIMO;Teatro crítico universal, I;1726;Literatura;España;"con ser de la professión, confiessa, que en ninguna cosa mienten, o desvarían más los Médicos, que en las virtudes que atribuyen a los medicamentos. Assí no puedo menos de reír, que algunos Naturalistas se ayan quebrado la cabeza sobre averiguar, que planta es aquella que Homero llama Nepenthes, tan eficaz para regocijar la alma, y desterrar toda melancolía, que con su vso se passaba sin dolor alguno por encima de los más terribles contratiempos; y assí la vsaba frequentemente la hermosa Helena, como remedio seguro de sus disgustos. La dificultad está en que no se encuentra oy planta alguna de virtud tan valiente, y la dificultad es bien";transitivo;;;;;;
1733 FEIJOO, BENITO JERÓNIMO, Theatro Crítico Universal o discursos varios en todo género de materias, para desengaño de errores comunes, V [España] [CORDE, Madrid, Real Academia Española, 2003] Literatura;FEIJOO, BENITO JERÓNIMO;Theatro Crítico Universal o discursos varios en todo género de materias, para desengaño de errores comunes, V;1733;Literatura;España;afligido, participando el alma de los trabajos de el cuerpo. Sucede que a este tiempo le assalta un delirio, en que, bien lejos de pensar en la enfermedad y sus sýmptomas, imagina que ve corridas de toros, que assiste a comedias, cazas, bailes, combites, etc. Ya le  vemos contento y regocijado en extremo. Pregunto: ¿No perseveran la misma fiebre, los mismo sýmptomas que antes ocasionaban aquella aflicción de el espíritu? No hai duda. ¿No subsiste el fundamento de la pretendida correspondencia sympática de cuerpo y alma, que es la unión natural de materia y forma? También. La única novedad que hai está;no;;;;;;
1737 MAYANS Y SISCAR, GREGORIO, Vida de Miguel de Cervantes Saavedra [España] [Antonio Mestre Sanchis, Valencia, Ayuntamiento de Oliva-Diputación de Valencia, 1984] Literatura;MAYANS Y SISCAR, GREGORIO;Vida de Miguel de Cervantes Saavedra;1737;Literatura;España;entonces les daré crédito cuando digan esso después de aver gustado a Séneca, o a Cicerón, o a San Gerónimo, o a la Sagrada Escritura, i quando sus costumbres también no sean del todo estragadíssimas, porque las más veces la causa de aprovar tales libros es contemplar en ellos sus costumbres representadas como en un espejo i regocijarse de verlas aprovadas. Finalmente, aunque lo que dicen fuesse mui agudo i agradable, yo nunca querría un deleite emponzoñado i que mi muger se ingeniasse para hacerme traición.;si;si;de;imperfectivo;animado;;
1737 MAYANS Y SISCAR, GREGORIO, Vida de Miguel de Cervantes Saavedra [España] [Antonio Mestre Sanchis, Valencia, Ayuntamiento de Oliva-Diputación de Valencia, 1984] Literatura;MAYANS Y SISCAR, GREGORIO;Vida de Miguel de Cervantes Saavedra;1737;Literatura;España;"sucesso tendrá la fama cuidado, mis amigos gana de decillo, i yo mayor gana de escuchallo. Tornéle a abrazar. Volvióseme a ofrecer. Picó a su burra i dejóme tan mal dispuesto como él iva cavallero en su burra, a quien avía dado gran ocasión a mi pluma para escrivir donaires. A Dios, regocijados amigos, que yo me voi muriendo i deseando veros presto contentos en la otra vida."" La de Cervantes estava ya en el confín de la muerte. La hidropesía se le agravó. Pero quanto más le debilitava el cuerpo tanto más procurava él fortalecer su ánimo, i, aviendo recibido la extrema unción para salir";no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;con el transcurso del tiempo, puliendo y mejorando hasta reducirse, finalmente, a reglas ciertas y fijas. Esta conjetura hizo Pablo Benio del principio de la poesía entre los árcades, y la misma hizo Horacio de los versos fesceninos, atribuyendo su origen a los labradores antiguos, que acabada su cosecha, ociosos y regocijados, inventaron los primeros esta especie de versos en los sacrificios que hacían a sus rústicas deidades.;no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;hacen su ordinario efecto. Ni el entendimiento mudable, ni el genio diverso, ni las varias preocupaciones, ni los diferentes estudios, pueden hacer que no muevan a compasión las lágrimas de una persona afligida, que no enternezcan los extremos de un amante apasionado y que no cause alegría la risa de un hombre contento y regocijado.;no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;"La segunda regla, cuanto a las pinturas y descripciones (que viene a ser no regla aparte, sino como modificación y condición de la primera) es que en ellas se abstenga el poeta de todo lo que puede dañar a su intento. De suerte que, si el intento del poeta es regocijar los ánimos de sus lectores, inspirándoles ideas de placer y de alegría, podrá entonces detenerse en las circunstancias más hermosas, más agradables y placenteras del objeto que describe; pero si, al contrario, quiere infundir lástima o terror u otro afecto violento, le será preciso, entonces, dar de mano a";transitivo;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;"lectores, inspirándoles ideas de placer y de alegría, podrá entonces detenerse en las circunstancias más hermosas, más agradables y placenteras del objeto que describe; pero si, al contrario, quiere infundir lástima o terror u otro afecto violento, le será preciso, entonces, dar de mano a todo lo florido y regocijado de la pintura, conformándola y acomodándola en todo a los efectos que quiere inspirar a sus lectores. La descripción del diluvio que hace Ovidio y que arriba hemos visto censurada, puede servir de ejemplo de semejantes descripciones que dañan al intento del poeta; de las cuales hay también muchas en las tragedias de";no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;"se reducen su esencia y sus principales reglas. La comedia, pues, a mi parecer, como quiera que otros la definan, es una representación dramática de un hecho particular y de un enredo de poca importancia para el público, el cual hecho o enredo se finja haber sucedido entre personas particulares o plebeyas con fin alegre y regocijado; y que todo sea dirigido a utilidad y entretenimiento del auditorio, inspirando insensiblemente amor a la virtud y aversión al vicio, por medio de lo amable y feliz de aquélla y de lo ridículo e infeliz de éste.";no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;"Difieren también la tragedia y la comedia, en el éxito de la fábula y en las pasiones. La mejor constitución de la tragedia, según Aristóteles, es la que tiene el éxito infeliz; por el contrario, la comedia pide siempre un éxito feliz y regocijado. Y aunque en la doctrina de Aristóteles no se reprueban absolutamente las tragedias de éxito feliz, no obstante aun en éstas las principales personas se ven en gravísimos peligros de perder la vida o el estado o la felicidad que gozaban, si bien al cabo se libran de semejantes peligros; los cuales ya bastan para mover";no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;"advertido en sus defectos. Y como en la tragedia se han de mover las pasiones de lástima y terror, con la misma constitución de la fábula lastimosa y terrible, asimismo,  en la comedia, se han de excitar sus proprios afectos de risa y alegría con el mismo asunto, que ha de ser festivo y regocijado. También es indubitable que la mudanza de fortuna ha de caer sobre el principal personado, cuya extrema infelicidad produzca en los oyentes compasión y terror; lo mismo se ha de observar en la perfecta comedia, cuyos principales papeles han de ser los que muevan el auditorio a risa y alegría, por medio de sus defectos bien pintados";no;;;;;;
1737-a1754 LUZÁN, IGNACIO DE, La Poética o reglas de la poesía en general y de sus principales especies [España] [Russell P. Sebold, Barcelona, Labor, 1977] Literatura;LUZÁN, IGNACIO DE;La Poética o reglas de la poesía en general y de sus principales especies;1737-a1754;Literatura;España;"deleitar. La epopeya admite todo género de pasiones, como no se destruyan e impidan unas a otras, lo que se puede fácilmente evitar excitándolas en distintos parajes del poema. Así vemos en el IV de la Eneida reinar dulcemente el amor, la compasión y la tristeza; y en el VI la alegría y regocijo, y en otras partes de aquel poema otras pasiones. Bien es verdad que en cada poema debe reinar y sobresalir una pasión más que otras, que sea la más conforme al carácter del héroe y de todo el poema. Por esto en la Ilíada predomina el furor y la venganza, y en la";no;;;;;;
1758 ISLA, JOSÉ FRANCISCO DE, Historia del famoso predicador Fray Gerundio de Campazas alias Zotes [España] [José Jurado, Madrid, Gredos, 1992] Novela;ISLA, JOSÉ FRANCISCO DE;Historia del famoso predicador Fray Gerundio de Campazas alias Zotes;1758;Novela;España;la confesión y de la comunión pascual, a que es preciso se sujete todo católico so pena de tablillas y algo más? ¿Cree buenamente vuestra reverendísima que dejarán de cometerse algunos en los jubileos más célebres? Y, ¿será bueno que por eso no sepan cuál es su alegría derecha aquellos celosos párrocos, que tanto se regocijan en el Señor cuando ven que han cumplido con la Iglesia todos sus feligreses? ¿Será bueno que vuestra reverendísima se ría del espiritual consuelo que siente todo hombre de mediano celo y amor a la religión, cuando ve un número sinnúmero de confesiones y de comuniones en los jubileos plenísimos? ¿Será bien parecido que;si;si;en;imperfectivo;animado;;
1758 ISLA, JOSÉ FRANCISCO DE, Historia del famoso predicador Fray Gerundio de Campazas alias Zotes [España] [José Jurado, Madrid, Gredos, 1992] Novela;ISLA, JOSÉ FRANCISCO DE;Historia del famoso predicador Fray Gerundio de Campazas alias Zotes;1758;Novela;España;Gallardo, aunque fabuloso, paralelo del milagroso objeto, que termina los regocijados cultos de este día octavo de diciembre, en que la Iglesia católica celebra la Concepción pasiva de María, Venus del amor divino, diosa de la hermosura de la gracia.;no;;;;;;
1758 ISLA, JOSÉ FRANCISCO DE, Historia del famoso predicador Fray Gerundio de Campazas alias Zotes [España] [José Jurado, Madrid, Gredos, 1992] Novela;ISLA, JOSÉ FRANCISCO DE;Historia del famoso predicador Fray Gerundio de Campazas alias Zotes;1758;Novela;España;No cabe en la imaginación cuánto se regocijó el bendito fray Gerundio con este, a su parecer, felicísimo y oportunísimo hallazgo, porque en sólo él tenía cuanto había menester para lo que le restaba que ajustar. Había árbol traído del monte con mucho acompañamiento y elevado con grande devoción en el patio del templo: ¡Qué símbolo más propio del;si;si;con;perfectivo;animado;;
1759 TORRES VILLARROEL, DIEGO DE, «Vida, ascendencia, nacimiento, crianza y aventuras, VI»(Vida, ascendecia, nacimiento, crianza y aventuras) [España] [Madrid, Castalia, 1972] Historia;TORRES VILLARROEL, DIEGO DE;Vida, ascendencia, nacimiento, crianza y aventuras, VI(Vida, ascendecia, nacimiento, crianza y aventuras);1759;Historia;España;accidentes inevitables de su duración y la piadosa gracia de V. M. me aseguran el gran bien de morir su vasallo, y en este fin dichoso tengo fundadas todas las honras y los contentos de  mis ansias felices. Con mi vida también doy a V. M. mis trabajos para que en su presencia truequen el horror de males y desdichas en regocijados bienes y halagüeñas fortunas.;no;;;;;;
1782 ANÓNIMO, «La toma de Mahón. Tonadilla a dúo y coro»(Tonadillas teatrales) [España] [Madrid, Tipografía de Archivos, 1932] Verso;ANÓNIMO;La toma de Mahón. Tonadilla a dúo y coro(Tonadillas teatrales);1782;Verso;España;¡Ay, tirana de mi corazón! ¡Cuántos tiros has tirado! ¡Cómo has mostrado valor! Si así rindes los castillos, también rendirás mi amor.  ¡Viva la tirana de Puerto Mahón! ¡Y viva la tropa! ¡Viva su valor! ¡Y viva la España y el grande Crillón!  Regocíjate, Madrid, que ya tu tirana ha vuelto cargadita de noticias de mucho gusto y contento  ¡Ay, tirana, tirana valiente! etc.  Y esto ya cansa. Acaben seguidillas esta tonada, aplaudiendo los triunfos de nuestra España, y el perdón os pedimos de nuestras faltas.;si;si;no;imperfectivo;animado;;
1784 MELÉNDEZ VALDÉS, JUAN, Las bodas de Camacho el rico. Comedia pastoral [España] [Antonio Astorgano Abajo, Madrid, Cátedra, 2004] Verso;MELÉNDEZ VALDÉS, JUAN;Las bodas de Camacho el rico. Comedia pastoral;1784;Verso;España;"pura cuanto contar pudieron: en riquezas no hay mayoral alguno que le iguale. Estas sierras pobladas tiene con sus vacadas, y valles y laderas de cabras y corderas, siendo a par dadivoso que hacendado. De la hermosa Quiteria enamorado, al fin su honesta mano ha conseguido; y celebrar los desposorios quiere con mil regocijadas invenciones. Las grandes y abundosas prevenciones no me es dado contar: veréis tendido el albo y rico pan así en rimeros cual suele el trigo estar en el ejido; así veréis arder olmos enteros cociendo las viandas, cual si fuesen lumbradas de verano, así caza colgada por los robles cual si su fruta fuera.";no;;;;;;
1784 MELÉNDEZ VALDÉS, JUAN, Las bodas de Camacho el rico. Comedia pastoral [España] [Antonio Astorgano Abajo, Madrid, Cátedra, 2004] Verso;MELÉNDEZ VALDÉS, JUAN;Las bodas de Camacho el rico. Comedia pastoral;1784;Verso;España;"Sancho. Salieron por espuma tres pollas, que añagazas al apetito hacían, y a la boca ellas mismas se venían. Luego dos gazapillos y cuatro pichoncillos; y tras esto el licor, dulce embeleso de Sancho, con que el seso pierdo regocijado.  ¡Es de lo más añejo y extremado! ¡Oh, qué bien que sabía!";no;;;;;;
1784 MELÉNDEZ VALDÉS, JUAN, Las bodas de Camacho el rico. Comedia pastoral [España] [Antonio Astorgano Abajo, Madrid, Cátedra, 2004] Verso;MELÉNDEZ VALDÉS, JUAN;Las bodas de Camacho el rico. Comedia pastoral;1784;Verso;España;"El escudero sirva y acompañe fiel, callado, solícito y paciente, mientra que su señor lidia y guerrea; y del descanso y bienandanza goce que en su casa sin él jamás habría; bien como tú, pues mientras yo non curo, sin atender la pública alegría, en al que en acorrer menoscabados, regocijado, suelto y bien seguro comes, bebes y ríes sin otros pensamientos ni cuidados.";no;;;;;;
1786 MONTENGÓN, PEDRO, Eusebio [España] [Fernando García Lara, Madrid, Cátedra, 1998] Novela;MONTENGÓN, PEDRO;Eusebio;1786;Novela;España;Los vientos amansaban sus iras y el cielo, todavía rebozado, abría al alba el horizonte, cuyos dulces albores alegraban la tierra trabajada * de un horrible huracán que cubrió de espanto y estragos las costas del Maryland y de la Carolina *. Las aves, roto su silencioso pavor, parecía que se regocijaban con blandos quiebros y alborozados cantos de la venida de la aurora que amanecía.;si;si;no;imperfectivo;animado;;
1786 MONTENGÓN, PEDRO, Eusebio [España] [Fernando García Lara, Madrid, Cátedra, 1998] Novela;MONTENGÓN, PEDRO;Eusebio;1786;Novela;España;"Nancy, milord, es su nombre. ¿Y cuándo llega esa amable Nancy? ¿Han ido muy lejos? No tan lejos, milord, poco pueden tardar en venir. A lo menos tendremos buena compañía; ¿no os lo parece, don Eusebio? ¿No sentís alborozarse, regocijarse ya vuestro corazón al dulce, al amable nombre de Nancy? ¿Qué techo, qué choza podrá parecer despreciable cuando la habita una hermosura? Una deidad diré mejor, pues una hermosa doncella tal me lo parece. Mucho más, milord, dice Eusebio, si a la hermosura se le junta la virtud";si;si;no;imperfectivo;inanimado;;corazón = animado?
1786 MONTENGÓN, PEDRO, Eusebio [España] [Fernando García Lara, Madrid, Cátedra, 1998] Novela;MONTENGÓN, PEDRO;Eusebio;1786;Novela;España;"¡Lástima, oyentes míos, lástima que el guardián, que estuvo presente al sermón, no lo hiciese imprimir! ¡Qué cosas tan lindas y enérgicas, graciosas y graves no diría a los peces! ¡Qué dulzura de palabras, dulciora super mel et favum! * ¡Qué regocijados no se irían con la bendición que les echó, diciéndoles sin duda: Ite, crescite et multiplicamini! *; porque los peces se multiplican a millares, según dicen. ¡Qué gozosos que le volverían las colas para irse a correr por los senderos del mar! Per semitas maris *.";no;;;;;;
1786 MONTENGÓN, PEDRO, Eusebio [España] [Fernando García Lara, Madrid, Cátedra, 1998] Novela;MONTENGÓN, PEDRO;Eusebio;1786;Novela;España;Eusebio, regocijado por el beneplácito de Henrique Myden, sin querer contradecirle a lo que de hecho aprobaba, le dio las gracias por ello y determinó hacer solemne la manumisión de aquellos negros. Para esto quiso que se juntasen todas las familias de los labradores de los otros caseríos en el antiguo bosque, vecino a la granja, a cuya;no;;;;;;
1786 MONTENGÓN, PEDRO, Eusebio [España] [Fernando García Lara, Madrid, Cátedra, 1998] Novela;MONTENGÓN, PEDRO;Eusebio;1786;Novela;España;Eus. Es más difícil de explicar que de concebir. Lo apuntaré con todo. El niño ve la luz y la ama, porque lo regocija, entreteniéndole la embaída * vista con los claros objetos que le presenta. Él mismo aborrece las tinieblas, porque a más de robarle todos aquellos objetos, infunden en su alma las semillas del temor, asombrándola con la oscuridad. A más de esto, de día ve a sus padres que continuamente lo acarician y las caricias lo alegran;transitivo;;;;;;
c1790 SAMANIEGO, FÉLIX MARÍA DE, El jardín de Venus [España] [Emilio palacios Fernández, Madrid, Biblioteca nueva, 2004] Verso;SAMANIEGO, FÉLIX MARÍA DE;El jardín de Venus;c1790;Verso;España;"fin, cariñosa, dijo al simple zagal: — ¡Ay, pobrecito,  una postema tienes! Ven, hijito, ven conmigo a la cama; haré una cosa con que, a fe de Quiteria, se te reviente y salga la materia. El pastor inocente a la cura se apresta y ella, regocijada de la fiesta, le dio un baño caliente, metiendo aquello hinchado en el... ya usted me entiende acostumbrado, con una habilidad tan extremada y tales contorsiones, que dejó la postema reventada con dos o tres o más supuraciones. Fuese el zagal y, a poco, volvió un día a la casa del";no;;;;;;
c1790-1823 ARRIAZA, JUAN BAUTISTA DE, Poesías líricas [España] [Madrid, Imprenta Real, 1822-1826] Verso;ARRIAZA, JUAN BAUTISTA DE;Poesías líricas;c1790-1823;Verso;España;"se halla adjunto; Los planetas sus órbitas inmensas Cesan en describir por aquel punto: Febo, rompiendo las tinieblas densas, Lució de noche á las estrellas junto, Y Neptuno, elevado sobre un monte De agua, domina el férvido horizonte.   En medio del Olimpo Amor risueño Triunfante se presenta en la palestra; Vénus regocijada con empeño La victoria del hijo al padre muestra: Júpiter, descompuesto el grave ceño, Revuelto el manto, sin accion la diestra, Y casi fuera de su trono inmenso Contempla á Silvia atónito y suspenso.  Suspensas, quietas, y en silencio mudo Las obras de natura portentosas, Buscan aquel feliz mortal";no;;;;;;
1793 MONTENGÓN, PEDRO, Eudoxia, hija de Belisario [España] [Guillermo Carnero, Alicante, Instituto de cultura Juan Gil-Albert, 1990] Novela;MONTENGÓN, PEDRO;Eudoxia, hija de Belisario;1793;Novela;España;¿Qué es? Qué decís? ¿Maximio está ahí?, preguntaba el regocijado Belisario.;no;;;;;;
1793 MONTENGÓN, PEDRO, Eudoxia, hija de Belisario [España] [Guillermo Carnero, Alicante, Instituto de cultura Juan Gil-Albert, 1990] Novela;MONTENGÓN, PEDRO;Eudoxia, hija de Belisario;1793;Novela;España;cantos, más allá aquellos panes que comienzan a trocar su verdor en la preciosa amarillez que os promete el sustento casi asegurado, esas parras cuyos racimos parece se quieren desprender con su peso para ofreceros su dulce licor, aquellos frutales que dexan asomar sus sazonados  frutos, este día, finalmente, que con su pura luz regocija y ameniza la variedad de estas plantas, que contribuyen para hacer más apetecible la dicha del campo?;transitivo;;;;;;
1794 JOVELLANOS, GASPAR MELCHOR, «Diario de 1794»(Diario (Cuadernos I a V)) [España] [Oviedo, Instituto Feijoo de estudios del s. XVIII, 1994] Historia;JOVELLANOS, GASPAR MELCHOR;Diario de 1794(Diario (Cuadernos I a V));1794;Historia;España;"de capitán general. Se colocaron interinamente en mi cuarto de la torre. Después de siesta vino a verlos, avisado, D. Antonio Vigil. Se le recordó lo que se habló en nuestras conferencias sobre fiestas; díjele que podría abocarse con los diputados de otros cuerpos; que si querían hacer, como habían pensado, algún otro regocijo, el tiempo era oportuno cuando la colocación, y que si no, estuviesen entendidos en no haber necesidad alguna de ello, puesto que con lo hecho se habrá cumplido suficientemente. Fue enterado. Lluvia suave desde mediodía. Salí, no obstante, a paseo. A casa. El correo, que vino tarde, no trae cosa";no;;;;;;
1799-1815 CONDE DE NOROÑA (GASPAR MARÍA DE NAVA ÁLVAREZ DE NOROÑA), Poesías [España] [Leopoldo Augusto Cueto, Madrid, Rivadeneyra, 1871] Verso;CONDE DE NOROÑA (GASPAR MARÍA DE NAVA ÁLVAREZ DE NOROÑA);Poesías;1799-1815;Verso;España;"«Hagamos alto» el fuerte Mendo dijo. Y, llenos de placer y regocijo, De sus valientes hombros derribaron La poderosa carga que tomaron. Largo espacio ocupaba La tremenda escalera; A par de ella gozosos se sentaron; Cada cual esperaba Que hablase el capitan; de esta manera Habló á la hueste valerosa y fiera: «Generosos amigos, compañeros De todas mis empresas juveniles, ¡Qué gusto";no;;;;;;
a1800 GONZÁLEZ DEL CASTILLO, JUAN IGNACIO, El recluta por fuerza [España] [Madrid, RAE, 1914] Verso;GONZÁLEZ DEL CASTILLO, JUAN IGNACIO;El recluta por fuerza;a1800;Verso;España;Lucas. ¿Qué pretendo? Que ya el año de los lutos se ha cumplido, y es fuerza regocijarnos. Conque así, dime, Isabel, clarito, si nos casamos.;si;si;no;imperfectivo;animado;;
1805 ZAVALA Y ZAMORA, GASPAR, La Eumenia o La madrileña, teatro moral [España] [Guillermo Carnero, Barcelona, Universidad de Alicante. Sirmio, 1992] Novela;ZAVALA Y ZAMORA, GASPAR;La Eumenia o La madrileña, teatro moral;1805;Novela;España;"artes, os tributé mi admiración en quantas partes os he hallado; doblé mi rodilla a las prodigiosas obras de los Apeles, Fidias y Vitruvios. He oído con sorpresa los encantadores ecos de la divina Euterpe; han arrancado más de una vez las lágrimas de mis ojos los trágicos acentos de Melpomene, y otras ha regocijado mi corazón la festiva Talía. Pero jamás hallé en estos estudiados recreos el puro y dulce placer que experimento a la vista de las simples gracias de la rica naturaleza. La admiración que inspiran las más sublimes obras de los hombres va acompañada siempre de un cierto sentimiento al acordar el duro esfuerzo que les costaría vencer";transitivo;;;;;;
1805 ZAVALA Y ZAMORA, GASPAR, La Eumenia o La madrileña, teatro moral [España] [Guillermo Carnero, Barcelona, Universidad de Alicante. Sirmio, 1992] Novela;ZAVALA Y ZAMORA, GASPAR;La Eumenia o La madrileña, teatro moral;1805;Novela;España;"«Sí le volverá, amigo, no lo dudes, dixo entonces el regocijado Salmon. Ya ves hoy cumplida una gran parte de mi halagüeño vaticinio; reflexiona, pues, el impensado medio de que se valió la Providencia para traerte nuevas de tu hijo. Bendícela por la piedad que usó contigo enviándote a una joven que tanto debe ya interesarte, para templar tus penas entre tanto. Entrégate en";no;;;;;;
1805 ZAVALA Y ZAMORA, GASPAR, La Eumenia o La madrileña, teatro moral [España] [Guillermo Carnero, Barcelona, Universidad de Alicante. Sirmio, 1992] Novela;ZAVALA Y ZAMORA, GASPAR;La Eumenia o La madrileña, teatro moral;1805;Novela;España;"las riquezas. Si hubiera de carecer de esta satisfacción, querría más haber nacido en brazos de la pobreza que nadar en la opulencia». Al pronunciar estas palabras llegaron al alto de una colina, de donde se descubrían los hermosos prados cercados de arboledas que habían de pertenecer un día a sus herederos. Tiende la regocijada vista sobre los numerosos rebaños que pacían tranquilamente en los abundantes prados, y dice a su querida Eumenia: «He aquí mis ricas estatuas; aquellas gordas becerras y estos corderos retozones me placen infinitamente más que los lustrosos mármoles y alabastros que admiramos en los parques de las grandes capitales; en el campo debe ser todo";no;;;;;;
1805 ZAVALA Y ZAMORA, GASPAR, La Eumenia o La madrileña, teatro moral [España] [Guillermo Carnero, Barcelona, Universidad de Alicante. Sirmio, 1992] Novela;ZAVALA Y ZAMORA, GASPAR;La Eumenia o La madrileña, teatro moral;1805;Novela;España;"hija de aquella desgraciada de quien nos habló Salmon en sus postreros instantes». Amábalas el tierno anciano  como si fueran sus hijas; y si los ruegos del justo son atendidos del Supremo Juez, no llorará siempre aquella desventurada madre el nacimiento de su hija. Ya se hallaba Florencia en los brazos del regocijado Amelo, quando acabó de pronunciar estas razones. Agasaja después a Eumenia, preguntándole si era aquélla su hija. «Vuestro arrendador, continuó, fue a contarnos quanto os había acaecido de unos días a esta parte; y yo hubiera venido antes a participar del gozo que os habrá causado el feliz hallazgo de la";no;;;;;;
1805 ZAVALA Y ZAMORA, GASPAR, La Eumenia o La madrileña, teatro moral [España] [Guillermo Carnero, Barcelona, Universidad de Alicante. Sirmio, 1992] Novela;ZAVALA Y ZAMORA, GASPAR;La Eumenia o La madrileña, teatro moral;1805;Novela;España;"de Termonio, después de dar a Eumenia y a Alfonso las más sencillas muestras de su amistad y complacencia. Los criados de la quinta presentaron a los dos esposos varios ramilletes que los pastores de la comarca habían dispuesto y adornado de inscripciones. Acabaron de cenar; y despidiéndose todos hasta el siguiente día, acompañó el regocijado Amelo a sus hijos hasta la estancia que les habían destinado. Hermoseábanla ricos tapices matizados de hojas de rosas de diferentes colores. Servían de festones a la colgadura del lecho nupcial varías guirnaldas de flores, y otra de rosas componía todo el cielo. «Pues caminasteis tanto tiempo por espinas, les dixo el buen";no;;;;;;
